# Spalte1	Spalte2
17.466747	18.319415
17.521161	18.319415
17.575574	18.293319
17.629988	18.293319
17.684401	18.293319
17.738815	18.293319
17.793229	18.293319
17.847642	18.293319
17.902056	18.293319
17.956469	18.293319
18.010883	18.293319
18.065296	18.293319
18.119710	18.293319
18.174123	18.241127
18.228537	18.241127
18.282950	18.241127
18.337364	18.241127
18.391778	18.241127
18.446191	18.241127
18.500605	18.241127
18.555018	18.241127
18.609432	18.241127
18.663845	18.241127
18.718259	18.241127
18.772672	18.241127
18.827086	18.241127
18.881499	18.241127
18.935913	18.241127
18.990326	18.241127
19.044740	18.241127
19.099154	18.241127
19.153567	18.241127
19.207981	18.241127
19.262394	18.241127
19.316808	18.241127
19.371221	18.241127
19.425635	18.241127
19.480048	18.162839
19.534462	18.162839
19.588875	18.162839
19.643289	18.162839
19.697703	18.136743
19.752116	18.136743
19.806530	18.136743
19.860943	18.136743
19.915357	18.136743
19.969770	18.136743
20.024184	18.136743
20.078597	18.110647
20.133011	18.110647
20.187424	18.110647
20.241838	18.110647
20.296252	18.110647
20.350665	18.110647
20.405079	18.110647
20.459492	17.954071
20.513906	17.954071
20.568319	17.954071
20.622733	17.954071
20.677146	17.954071
20.731560	17.954071
20.785973	17.954071
20.840387	17.954071
20.894800	17.927975
20.949214	17.927975
21.003628	17.927975
21.058041	17.927975
21.112455	17.927975
21.166868	17.927975
21.221282	17.927975
21.275695	17.849687
21.330109	17.849687
21.384522	17.849687
21.438936	17.849687
21.493349	17.849687
21.547763	17.849687
21.602177	17.849687
21.656590	17.849687
21.711004	17.849687
21.765417	17.823591
21.819831	17.823591
21.874244	17.823591
21.928658	17.823591
21.983071	17.823591
22.037485	17.771399
22.091898	17.771399
22.146312	17.693111
22.200726	17.667015
22.255139	17.667015
22.309553	17.667015
22.363966	17.667015
22.418380	17.667015
22.472793	17.667015
22.527207	17.667015
22.581620	17.667015
22.636034	17.667015
22.690447	17.667015
22.744861	17.667015
22.799274	17.588727
22.853688	17.588727
22.908102	17.562630
22.962515	17.536534
23.016929	17.536534
23.071342	17.536534
23.125756	17.536534
23.180169	17.536534
23.234583	17.536534
23.288996	17.536534
23.343410	17.536534
23.397823	17.406054
23.452237	17.406054
23.506651	17.379958
23.561064	17.379958
23.615478	17.379958
23.669891	17.379958
23.724305	17.353862
23.778718	17.353862
23.833132	17.353862
23.887545	17.353862
23.941959	17.301670
23.996372	17.301670
24.050786	17.301670
24.105200	17.301670
24.159613	17.301670
24.214027	17.301670
24.268440	17.301670
24.322854	17.301670
24.377267	17.301670
24.431681	17.301670
24.486094	17.301670
24.540508	17.275574
24.594921	17.275574
24.649335	17.197286
24.703748	17.171190
24.758162	17.171190
24.812576	17.171190
24.866989	17.171190
24.921403	17.171190
24.975816	17.171190
25.030230	17.171190
25.084643	17.040710
25.139057	17.040710
25.193470	17.040710
25.247884	17.014614
25.302297	17.014614
25.356711	17.014614
25.411125	16.988518
25.465538	16.988518
25.519952	16.988518
25.574365	16.988518
25.628779	16.988518
25.683192	16.936326
25.737606	16.936326
25.792019	16.936326
25.846433	16.936326
25.900846	16.936326
25.955260	16.936326
26.009674	16.910230
26.064087	16.910230
26.118501	16.910230
26.172914	16.910230
26.227328	16.831942
26.281741	16.831942
26.336155	16.831942
26.390568	16.753653
26.444982	16.727557
26.499395	16.727557
26.553809	16.727557
26.608222	16.727557
26.662636	16.727557
26.717050	16.727557
26.771463	16.727557
26.825877	16.727557
26.880290	16.727557
26.934704	16.675365
26.989117	16.649269
27.043531	16.649269
27.097944	16.649269
27.152358	16.623173
27.206771	16.623173
27.261185	16.623173
27.315599	16.623173
27.370012	16.623173
27.424426	16.623173
27.478839	16.623173
27.533253	16.466597
27.587666	16.466597
27.642080	16.466597
27.696493	16.440501
27.750907	16.440501
27.805320	16.440501
27.859734	16.440501
27.914148	16.440501
27.968561	16.362213
28.022975	16.362213
28.077388	16.362213
28.131802	16.362213
28.186215	16.362213
28.240629	16.362213
28.295042	16.362213
28.349456	16.362213
28.403869	16.362213
28.458283	16.362213
28.512696	16.362213
28.567110	16.362213
28.621524	16.362213
28.675937	16.310021
28.730351	16.283925
28.784764	16.283925
28.839178	16.283925
28.893591	16.257829
28.948005	16.257829
29.002418	16.257829
29.056832	16.257829
29.111245	16.127349
29.165659	16.127349
29.220073	16.127349
29.274486	16.101253
29.328900	16.101253
29.383313	16.101253
29.437727	16.075157
29.492140	16.075157
29.546554	16.075157
29.600967	16.075157
29.655381	15.996868
29.709794	15.996868
29.764208	15.996868
29.818622	15.996868
29.873035	15.970772
29.927449	15.970772
29.981862	15.970772
30.036276	15.970772
30.090689	15.970772
30.145103	15.970772
30.199516	15.866388
30.253930	15.840292
30.308343	15.840292
30.362757	15.840292
30.417170	15.840292
30.471584	15.840292
30.525998	15.840292
30.580411	15.840292
30.634825	15.762004
30.689238	15.762004
30.743652	15.762004
30.798065	15.762004
30.852479	15.735908
30.906892	15.735908
30.961306	15.709812
31.015719	15.709812
31.070133	15.709812
31.124547	15.709812
31.178960	15.553236
31.233374	15.553236
31.287787	15.553236
31.342201	15.553236
31.396614	15.527140
31.451028	15.527140
31.505441	15.527140
31.559855	15.527140
31.614268	15.474948
31.668682	15.474948
31.723096	15.474948
31.777509	15.474948
31.831923	15.474948
31.886336	15.474948
31.940750	15.474948
31.995163	15.474948
32.049577	15.474948
32.103990	15.396660
32.158404	15.396660
32.212817	15.396660
32.267231	15.396660
32.321644	15.344468
32.376058	15.344468
32.430472	15.344468
32.484885	15.240084
32.539299	15.187891
32.593712	15.187891
32.648126	15.187891
32.702539	15.187891
32.756953	15.109603
32.811366	15.109603
32.865780	15.109603
32.920193	15.109603
32.974607	15.031315
33.029021	15.031315
33.083434	15.109603
33.137848	15.109603
33.192261	15.109603
33.246675	15.109603
33.301088	15.083507
33.355502	15.083507
33.409915	15.083507
33.464329	15.005219
33.518742	14.926931
33.573156	14.926931
33.627570	14.926931
33.681983	14.848643
33.736397	14.848643
33.790810	14.848643
33.845224	14.848643
33.899637	14.848643
33.954051	14.848643
34.008464	14.848643
34.062878	14.822547
34.117291	14.796451
34.171705	14.796451
34.226119	14.744259
34.280532	14.665971
34.334946	14.665971
34.389359	14.665971
34.443773	14.613779
34.498186	14.613779
34.552600	14.613779
34.607013	14.535491
34.661427	14.535491
34.715840	14.535491
34.770254	14.535491
34.824667	14.535491
34.879081	14.535491
34.933495	14.535491
34.987908	14.535491
35.042322	14.483299
35.096735	14.483299
35.151149	14.483299
35.205562	14.431106
35.259976	14.431106
35.314389	14.431106
35.368803	14.300626
35.423216	14.248434
35.477630	14.248434
35.532044	14.248434
35.586457	14.248434
35.640871	14.170146
35.695284	14.170146
35.749698	14.144050
35.804111	14.144050
35.858525	14.144050
35.912938	14.144050
35.967352	14.013570
36.021765	13.987474
36.076179	13.987474
36.130593	13.987474
36.185006	13.883090
36.239420	13.883090
36.293833	13.883090
36.348247	13.856994
36.402660	13.804802
36.457074	13.804802
36.511487	13.674322
36.565901	13.596033
36.620314	13.596033
36.674728	13.596033
36.729141	13.596033
36.783555	13.596033
36.837969	13.596033
36.892382	13.596033
36.946796	13.517745
37.001209	13.517745
37.055623	13.517745
37.110036	13.491649
37.164450	13.361169
37.218863	13.361169
37.273277	13.308977
37.327690	13.308977
37.382104	13.308977
37.436518	13.308977
37.490931	13.230689
37.545345	13.230689
37.599758	13.230689
37.654172	13.230689
37.708585	13.230689
37.762999	13.178497
37.817412	13.178497
37.871826	13.126305
37.926239	13.126305
37.980653	13.126305
38.035067	13.126305
38.089480	12.969729
38.143894	12.943633
38.198307	12.943633
38.252721	12.865344
38.307134	12.865344
38.361548	12.865344
38.415961	12.865344
38.470375	12.839248
