# Spalte1	Spalte2
15.059230	36.672326
15.103653	36.672326
15.148075	36.502547
15.192498	36.502547
15.236920	36.502547
15.281343	36.502547
15.325765	36.502547
15.370188	36.502547
15.414610	36.502547
15.459033	36.502547
15.503455	36.502547
15.547878	36.502547
15.592300	36.502547
15.636723	36.502547
15.681145	36.502547
15.725568	36.502547
15.769990	36.502547
15.814413	36.502547
15.858835	36.502547
15.903258	36.502547
15.947680	36.502547
15.992103	36.502547
16.036525	36.502547
16.080948	36.502547
16.125370	36.502547
16.169793	36.502547
16.214215	36.502547
16.258638	36.502547
16.303060	36.502547
16.347483	36.502547
16.391905	36.502547
16.436328	36.502547
16.702863	36.120543
16.747285	36.120543
16.791708	36.120543
16.836130	36.120543
16.880553	36.120543
16.924975	36.120543
16.969398	36.120543
17.013820	36.120543
17.058243	36.120543
17.102665	36.120543
17.147088	36.120543
17.191510	36.120543
17.235933	36.120543
17.280355	36.120543
17.324778	36.120543
17.369200	36.120543
17.413623	36.120543
17.458045	36.120543
17.502468	36.120543
17.546890	36.120543
17.591313	36.120543
17.635735	36.120543
17.680158	36.120543
17.724580	36.120543
17.769003	36.120543
17.813425	35.950764
17.857848	35.950764
17.902270	35.950764
17.946693	35.950764
17.991115	35.950764
18.035538	35.950764
18.079961	35.950764
18.124383	35.950764
18.168806	35.950764
18.213228	35.950764
18.257651	35.950764
18.302073	35.950764
18.346496	35.950764
18.390918	35.950764
18.435341	35.780985
18.479763	35.780985
18.524186	35.780985
18.568608	35.780985
18.613031	35.780985
18.657453	35.780985
18.701876	35.780985
18.746298	35.780985
18.790721	35.780985
18.835143	35.780985
18.879566	35.780985
18.923988	35.780985
18.968411	35.780985
19.012833	35.780985
19.057256	35.780985
19.101678	35.780985
19.146101	35.780985
19.190523	35.780985
19.234946	35.780985
19.279368	35.780985
19.323791	35.780985
19.368213	35.780985
19.545903	35.398981
19.590326	35.398981
19.634748	35.398981
19.679171	35.398981
19.723593	35.398981
19.768016	35.398981
19.812438	35.398981
19.856861	35.398981
19.901283	35.398981
19.945706	35.398981
19.990128	35.398981
20.034551	35.398981
20.078973	35.398981
20.123396	35.398981
20.167818	35.398981
20.212241	35.398981
20.256663	35.398981
20.301086	35.229202
20.345508	35.229202
20.389931	35.229202
20.434353	35.229202
20.478776	35.229202
20.523198	35.229202
20.567621	35.229202
20.612043	35.229202
20.656466	35.229202
20.700888	35.229202
20.745311	35.229202
20.789733	35.229202
20.834156	35.229202
20.878578	35.229202
20.923001	35.229202
20.967423	35.229202
21.011846	35.229202
21.056269	35.016978
21.100691	35.016978
21.145114	35.016978
21.189536	35.016978
21.233959	35.016978
21.278381	34.847199
21.322804	34.847199
21.367226	34.847199
21.411649	34.847199
21.456071	34.847199
21.500494	34.847199
21.544916	34.847199
21.589339	34.847199
21.633761	34.847199
21.678184	34.847199
21.722606	34.847199
21.767029	34.847199
21.811451	34.847199
21.855874	34.847199
21.900296	34.847199
21.944719	34.847199
21.989141	34.847199
22.033564	34.847199
22.077986	34.847199
22.122409	34.847199
22.166831	34.847199
22.211254	34.677419
22.255676	34.677419
22.300099	34.677419
22.344521	34.677419
22.388944	34.677419
22.433366	34.677419
22.477789	34.677419
22.522211	34.677419
22.566634	34.677419
22.611056	34.677419
23.010859	34.295416
23.055281	34.295416
23.099704	34.295416
23.144126	34.295416
23.188549	34.295416
23.232971	34.295416
23.277394	34.295416
23.321816	34.295416
23.366239	34.295416
23.410661	34.295416
23.455084	34.295416
23.499506	34.295416
23.543929	34.295416
23.588351	34.295416
23.632774	34.125637
23.677196	34.125637
23.721619	34.125637
23.766041	34.125637
23.810464	34.125637
23.854886	34.125637
23.899309	34.125637
23.943731	34.125637
23.988154	34.125637
24.032577	34.125637
24.076999	34.125637
24.121422	34.125637
24.165844	33.913413
24.210267	33.913413
24.254689	33.913413
24.299112	33.913413
24.343534	33.913413
24.387957	33.913413
24.432379	33.913413
24.476802	33.913413
24.521224	33.913413
24.565647	33.913413
24.610069	33.913413
24.654492	33.913413
24.698914	33.913413
24.743337	33.913413
24.787759	33.913413
24.832182	33.913413
24.876604	33.913413
25.098717	33.573854
25.143139	33.573854
25.187562	33.573854
25.231984	33.573854
25.276407	33.573854
25.320829	33.573854
25.365252	33.573854
25.409674	33.573854
25.454097	33.573854
25.498519	33.573854
25.542942	33.573854
25.587364	33.573854
25.631787	33.573854
25.676209	33.573854
25.720632	33.361630
25.765054	33.361630
25.809477	33.361630
25.853899	33.361630
25.898322	33.361630
25.942744	33.361630
25.987167	33.361630
26.031589	33.361630
26.076012	33.361630
26.120434	33.361630
26.164857	33.361630
26.209279	33.361630
26.253702	33.191851
26.298124	33.191851
26.342547	33.191851
26.386969	33.191851
26.431392	33.191851
26.475814	33.022071
26.520237	33.022071
26.564659	33.022071
26.609082	33.022071
26.653504	33.022071
26.697927	33.022071
26.742349	33.022071
26.786772	33.022071
26.831194	32.809847
26.875617	32.809847
26.920039	32.809847
26.964462	32.809847
27.008885	32.809847
27.053307	32.809847
27.097730	32.809847
27.142152	32.809847
27.186575	32.809847
27.230997	32.809847
27.275420	32.809847
27.319842	32.809847
27.364265	32.809847
27.675222	32.470289
27.719645	32.470289
27.764067	32.470289
27.808490	32.470289
27.852912	32.470289
27.897335	32.470289
27.941757	32.470289
27.986180	32.470289
28.030602	32.470289
28.075025	32.470289
28.119447	32.470289
28.163870	32.470289
28.208292	32.470289
28.252715	32.258065
28.297137	32.258065
28.341560	32.258065
28.385982	32.258065
28.430405	32.258065
28.474827	32.258065
28.519250	32.258065
28.563672	32.088285
28.608095	32.088285
28.652517	32.088285
28.696940	32.088285
28.741362	32.088285
28.785785	32.088285
28.830207	32.088285
28.874630	32.088285
28.919052	32.088285
28.963475	32.088285
29.007897	32.088285
29.052320	32.088285
29.096742	32.088285
29.141165	32.088285
29.363277	31.706282
29.407700	31.706282
29.452122	31.706282
29.496545	31.706282
29.540967	31.706282
29.585390	31.706282
29.629812	31.706282
29.674235	31.706282
29.718657	31.706282
29.763080	31.706282
29.807502	31.706282
29.851925	31.706282
29.896347	31.706282
29.940770	31.536503
29.985192	31.536503
30.029615	31.536503
30.074038	31.536503
30.118460	31.536503
30.162883	31.536503
30.207305	31.536503
30.251728	31.536503
30.296150	31.366723
30.340573	31.366723
30.384995	31.366723
30.429418	31.366723
30.473840	31.366723
30.518263	31.154499
30.562685	31.154499
30.607108	31.154499
30.651530	31.154499
30.695953	31.154499
30.740375	31.154499
30.784798	31.154499
30.829220	31.154499
30.873643	30.984720
30.918065	30.984720
30.962488	30.984720
31.006910	30.984720
31.051333	30.984720
31.095755	30.984720
31.140178	30.984720
31.184600	30.984720
31.229023	30.984720
31.273445	30.984720
31.317868	30.984720
31.362290	30.984720
31.406713	30.984720
31.451135	30.602716
31.495558	30.602716
31.539980	30.602716
31.584403	30.602716
31.628825	30.602716
31.673248	30.602716
31.717670	30.602716
31.762093	30.602716
31.806515	30.602716
31.850938	30.602716
31.895360	30.602716
31.939783	30.602716
31.984205	30.602716
32.028628	30.602716
32.073050	30.602716
32.117473	30.602716
32.161895	30.602716
32.206318	30.432937
32.250740	30.432937
32.295163	30.432937
32.339585	30.432937
32.384008	30.432937
32.428430	30.263158
32.472853	30.263158
32.517275	30.263158
32.561698	30.263158
32.606120	30.263158
32.650543	30.263158
32.694965	30.263158
32.739388	30.263158
32.783810	30.263158
32.828233	30.263158
32.872655	30.263158
32.917078	30.263158
32.961500	30.263158
33.005923	30.263158
33.050346	30.263158
33.094768	30.263158
33.139191	30.263158
33.183613	29.881154
33.228036	29.881154
33.272458	29.881154
33.316881	29.881154
33.361303	29.881154
33.405726	29.881154
33.450148	29.881154
33.494571	29.881154
33.538993	29.881154
33.583416	29.881154
33.627838	29.711375
33.672261	29.711375
33.716683	29.711375
33.761106	29.711375
33.805528	29.711375
33.849951	29.711375
33.894373	29.711375
33.938796	29.711375
33.983218	29.711375
34.027641	29.711375
34.072063	29.711375
34.116486	29.711375
34.160908	29.329372
34.205331	29.329372
34.249753	29.329372
34.294176	29.329372
34.338598	29.159593
34.383021	29.159593
34.427443	29.159593
34.471866	29.159593
34.516288	29.159593
34.560711	29.159593
34.605133	29.159593
34.649556	29.159593
34.693978	29.159593
34.916091	28.777589
34.960513	28.777589
35.004936	28.777589
35.049358	28.777589
35.093781	28.777589
35.138203	28.777589
35.182626	28.777589
35.227048	28.777589
35.271471	28.777589
35.315893	28.607810
35.360316	28.607810
35.404738	28.607810
35.449161	28.607810
35.493583	28.395586
35.538006	28.395586
35.582428	28.395586
35.626851	28.395586
35.671273	28.395586
35.715696	28.395586
35.760118	28.395586
35.804541	28.395586
35.848963	28.395586
35.893386	28.056027
35.937808	28.056027
35.982231	28.056027
36.026654	28.056027
36.071076	27.843803
36.115499	27.843803
36.159921	27.843803
36.204344	27.843803
36.248766	27.504244
36.293189	27.504244
36.337611	27.504244
36.382034	27.504244
36.426456	27.504244
36.470879	27.292020
36.515301	27.292020
36.559724	27.292020
36.604146	27.292020
36.648569	26.952462
36.692991	26.952462
36.737414	26.952462
36.781836	26.952462
36.826259	26.740238
36.870681	26.740238
36.915104	26.740238
36.959526	26.740238
37.003949	26.740238
37.048371	26.570458
37.092794	26.570458
37.137216	26.570458
37.181639	26.570458
37.226061	26.570458
37.403751	26.188455
37.448174	26.188455
37.492596	26.188455
37.537019	26.188455
37.581441	26.188455
37.625864	26.018676
37.670286	26.018676
37.714709	26.018676
37.759131	26.018676
37.803554	25.848896
37.847976	25.848896
37.892399	25.848896
37.936821	25.848896
37.981244	25.466893
38.025666	25.466893
38.070089	25.466893
38.114511	25.466893
38.158934	25.466893
38.203356	25.466893
38.247779	25.297114
38.292201	25.297114
38.336624	25.297114
38.381046	24.915110
38.425469	24.915110
38.469891	24.915110
38.514314	24.915110
38.558736	24.915110
38.603159	24.915110
38.647581	24.915110
38.692004	24.915110
38.736426	24.915110
38.780849	24.745331
38.825271	24.745331
38.869694	24.745331
38.914116	24.745331
38.958539	24.363328
39.002962	24.363328
39.047384	24.363328
39.091807	24.363328
39.136229	23.981324
39.180652	23.981324
39.225074	23.981324
39.269497	23.981324
39.313919	23.981324
